id,title,date,format,theme,filename,description,nix
MAF01,"General fertility rates (GFR) total fertility rates (TFR) births 2001 - 2012",30/07/2013,Excel,starting-well,"General_fertility_rates_total_fertility_rates_births_2001_2012.xlsx","This file includes births, general fertility rate and total fertility rate for all local authorities in West Sussex.

Graphs allow the comparison of trends over time.",0
MAF02,Live births 2004 - 2010 and fertility rates 2005 - 2010,03/02/2012,Excel,starting-well,live_births_2004_2010_and_fertility_rates_2005_2010.xls,"Data on trend in number of live births from 2004 to 2010 at local authority level.

Data also provided on general fertility rates (GFR) and total fertility rates (TFR) over the past 6 years at local authority levels.",0
NA15,Health and social care needs of Gypsies and Travellers in West Sussex 2010,30/01/2017,PDF,reports,Health-and-social-care-needs-of-Gypsies-and-Travellers-in-West-Sussex-2010.pdf,"The Office for Public Management (OPM) was commissioned by NHS West Sussex and West Sussex County Council (WSCC) to conduct an assessment of the health and social care needs of Gypsies and Travellers in West Sussex.

The aims of the project were to:
- Describe the Gypsy and Traveller population of West Sussex and their health and social care needs.
- Use qualitative and quantitative information to evidence whatexisting services are and are not meeting these needs.
- Identify any gaps in services.
- Compare findings with national research and best practice.
- Identify further opportunities for service improvement, e.g. partnership working, service access, etc.
- Identify key priorities for commissioners and other interested stakeholders
- Suggest indicators for monitoring progress towards addressing improvements and unmet needs.
- Produce a report aimed at policy makers and commissioners, but easily understood by all key stakeholders."
NA16,Health needs assessment of immigration removal facilities in West Sussex by ICPR July 2012,30/01/2017,PDF,reports,Health-needs-assessment-of-immigration-removal-facilities-in-West-Sussex-by-ICPR-July-2012.pdf,"NHS Sussex and West Sussex County Council commissioned the Institute of Criminal Policy Research (ICPR) to undertake an assessment of the health needs of people detained in the two local Immigration Removal Centres - Brook House and Tinsley House - and the Cedars pre-departure accommodation.

There were six specific objectives to the health needs assessment:
- To examine the current health and social care needs of people detained.
- To identify existing services and provision.
- To identify gaps in services or barriers to services
- To identify any training needs of centre staff
- To identify how the health and social care needs of children are being met
- To identify progress centres are making to address specific health and social care issues raised during HMIP centre inspections.

The fieldwork for this study was carried out between February and May 2012."
NA17,Thorney Island Needs Assessment,20/01/2013,Word,reports,thorney_final_report.doc,"This report is a summary of the health and wellbeing needs of the families of soldiers from 47 Regiment Royal Artillery and 12 Regiment Royal Artillery who are stationed on the Army base on Thorney Island, West Sussex.

It has been produced in response to increasing recognition nationally of the health and wellbeing needs of the families of serving personnel.

The reports looks at the current health and wellbeing of families of Thorney Island personnel, services in places for families, how local organisations are supporting families and gaps in services.

This is couple with several recommendations on how staff at Thorney Island and other organisations can work together to improve services."
NA18,Briefing - Early Help Identification of Children Revised,30/01/2017,PDF,reports,Briefing-Early-Help-Identification-of-Children-Revised.pdf,"This briefing:
1. Provides an overview of the child population and families in West Sussex.
2. Examines the various risk factors for early child development and harm.
3. (Based on national research) estimates population level prevalence of those at risk groups.
4. Outlines how at risk children could be identified using local sources and mechanisms.
5. Details the readiness for school dashboard indicators identified in WSCC."
NA19,Looked after children needs assessment,06/07/2012,PDF,reports,needs_assessment_of_vulnerable_and_looked_after_children___full_report.pdf,"A comprehensive needs assessment of vulnerable and Looked After Children in West Sussex, focussing on social care services, physical and mental health, housing, lifestyle and education.

Produced in 2008 by NHS Sussex."
NA20,West Sussex smoking cessation health equity audit 2013 - 2014,16/05/2015,PDF,reports,smoking_cessation_health_equity_audit_2013_14.pdf,"This report is to provide local stop smoking services, commissioners and decision makers with information about how equitable the distributions of resources for stop smoking services were delivered relative to the health needs of the population."
NA21,West Sussex residents survey; 2014,22/08/2014,PDF,reports,west_sussex_residents_survey_2014_.pdf,"A Community Survey was undertaken in West Sussex in February to May 2014.

Almost 4,000 people across the county were surveyed; it was a household face-to-face survey.

The survey used nationally and internationally validated questions on a range of issues including volunteering in the community, social networks and isolation (both in the general population and amongst older people), local concerns, assets and social action.

The background questions used, wherever possible, the same format as the Census 2011."
NA22,Evidence and engagement with children and young people in West Sussex 2014,25/07/2014,PDF,reports,evidence_engagement_children_young_people_final_report.pdf,"To inform the Children and Young PeopleÕs Emotional Wellbeing and Mental Health Needs Assessment, 2014, engagements were held with children and young people across the county in the Autumn of 2013.

In addition, an online survey was developed to capture the views of young people.

Within the discussion groups were upper and lower tier service users, members of the Children in Care Council and young people from secondary schools throughout the county.

This report is one of a three part engagement; the others being with ÔParents / Carers of those involved with CAMHSÕ and with ÔProfessionals involved with CAMHSÕ in West Sussex."
NA23,Evidence and engagement with parents/carers of young people involved with CAMHS in West Sussex 2014,25/07/2014,PDF,reports,evidence_engagement_parents_final_report.pdf,"To inform the Children and Young PeopleÕs Emotional Wellbeing and Mental Health Needs Assessment, 2014, engagements were held with parents and carers of young people involved with CAMHS across the county in the Autumn of 2013. In addition, an online survey was developed to capture the views of parents and carers.

This report is one of a three part engagement; the others being with ÔProfessionals involved with CAMHSÕ and with ÔChildren and Young People across West SussexÕ."
NA24,Evidence engagement with professionals involved with CAMHS in West Sussex 2014,25/07/2014,PDF,reports,evidence_engagement_professionals_final_report.pdf,"To inform the Children and Young PeopleÕs Emotional Wellbeing and Mental Health Needs Assessment, 2014, engagements were held with professionals across the county in the Autumn of 2013.\n\nIn addition, an online survey was developed to capture the views of professionals from a broad range of organisations.

This report is one of a three part engagement; the others being with ÔParents / Carers of those involved with CAMHSÕ and with ÔChildren and Young People across West SussexÕ."
NA25,Life expectancy at birth in West Sussex 2001 - 2012; data briefing,16/06/2014,Word,reports,life_expectancy_at_birth_in_west_sussex_2001_2012_data_briefing.docx,"An analysis of ward, district, county and deprivation decile level life expectancy estimates over time.

Evidence indicates that inequality has been rising and that older person poverty is highly associated with decreases in life expectancy values. "
NA26,"Lifestyles of older people in West Sussex, 2006",03/04/2014,PDF,reports,lifestyles_of_older_people_in_west_sussex_2006.pdf,"West Sussex has an ageing population. The countyÕs population age structure is older than the South East region and England as a whole and presents challenges in relation to the demand for and provision of services, but also in the way that older people are perceived and included in the wider community.

This report includes sections on smoking and alcohol, carers, contact with health services, home, anti-social behaviour and vulnerability of 48,202 people aged 60+ in West Sussex."
NA27,Lifestyles of 16 to 24 year olds in West Sussex 2007,03/04/2014,PDF,reports,lifestyles_of_16_to_24_year_olds_in_west_sussex_2008.pdf,"This survey provides West Sussex with an important and timely insight into the health and educational determinants of young adults in further and higher education.

This report provides information on demographics, lifestyles, high-risk and sexual behaviour of young adults aged between 16 and 24 years old.

This lifestyle survey of 16 to 24-year-olds attending Further and Higher Education Colleges in West Sussex was conducted in the winter term 2006-2007 (representing the views of 2,672 young adults)."
NA28,Equality Act update 2013,07/02/2014,Word,reports,equality_act_update_2013.docx,"The Equality Act 2010 identified nine protected characteristics; age, sex, disability, race, religion and belief, gender re-assignment, marriage and civil partnership, sexual orientation and pregnancy and maternity.

The attached report is an update on population level data sources relating to these characteristics."
NA29,Evaluation of the Family Link Worker service 2012-2013,31/12/2013,Word,reports,family_link_worker_service_evaluation_report_2013.doc,"This report evaluates the impact of the Family Link Worker Service over the 2012-2013 academic year.

Overall, at least one of the four evaluation forms was returned for 340 children/cases. These children attended 125 different schools.\n\nThe number of children referred from these schools ranged from between one to ten. Among the findings:
1. In eight out of ten cases, children said that their FLW had helped them and their families a lot.
2. In two-thirds of cases schools said that barriers to learning had been lessened.
3. 86% of schools thought that the service was effective in meeting childrenÕs needs."
NA30,Lives of older people in West Sussex survey; summary report 2013,16/12/2013,PDF,reports,lives_of_older_people_in_west_sussex_survey_summary_report_2013_final_.pdf,"West Sussex County Council conducted a telephone survey of 2803 residents aged 65+ and selected at random.

The aims of the survey were to understand levels of loneliness, social isolation and participation in older people in the county and to obtain data on health, wellbeing and lifestyle.

Attached is a short summary of the findings from the report."
NA31,Child poverty briefing note 2013,31/10/2013,Word,reports,jsna_briefing_child_poverty_oct_2013.doc,"Update on child poverty relating to August 2011 as provided by HM Revenue and Customs (HMRC).

In 2011, 13% of all children, and 13.5% of children under 16 years old were in relative poverty in West Sussex. This was highest in Crawley and lowest in Mid Sussex.

Data is available at county, local authority, ward and neighbourhood levels (lower super output area)."
NA32,Eye health - baseline evidence and service data,12/09/2013,Word,reports,jsna_eye_health_sight_loss_briefing.docx,"With a National Eye Health week established, this report on eye health presents information on the prevalence on eye conditions as well as information on sight tests by service user groups, cataract operations and the number of people registered blind in West Sussex."
NA33,Learning disabilities review,05/09/2013,PDF,reports,data_review_ld_jsna_2013.pdf,"An update on the information collated in 2009, bringing together information collected on adults with learning disabilities in West Sussex.

This includes information on prevalence, service level data and health outcomes."
NA34,2012 mid year estimates of population briefing note,09/08/2013,Word,reports,mid_year_2012_population_estimate_briefing1.docx,"The 2012 Mid-year population estimate for West Sussex was 815,100. This is a 0.8% increase from the previous year, caused by inward migration and to some extent a higher number of births than deaths.

This briefing outlines the key features of the 2012 population estimate including total population estimate and breakdown by 5-year age groups. Comparison between the 2011 and 2012 population estimates shows the changes in the number of births, death and net migration over that time period."
NA35,Seaside deprivation,30/08/2013,Word,reports,seaside_deprivation.docx_1.doc,"This brief will the a recent ONS study into the high levels of deprivation being experienced by large seaside resorts such as Bognor Regis, Worthing and Brighton among others in the local area."
NA36,Friends and family survey,30/08/2013,Word,reports,friends_family_sure.docx,"This brief will cover the drastic changes to the fuel poverty definition from the old 10% measure to the new Low Income High Cost (LIHC) definition This briefing will also give a summary of local figure for 2011 at County and District level."
NA37,Environmental health services: Reconnecting public health,16/07/2013,Word,reports,environmental_health_reconnecting_public_health.doc,"The first report of its kind, this reports brings together key environmental factors, which affect Public Health in West Sussex.

These are air quality, fuel poverty, water quality, alcohol control and noise control.

A separate section on the emergent issue of increasing public awareness of food hygiene standards when eating out follows this."
NA38,Quality assurance of childrenÕs residential care: Service level summary 2013,28/06/2013,PDF,reports,quality_assurance_in_children__s_residential_care_service_level_summary_2013.pdf,"Service level summary on the quality of care provided by 7 childrenÕs residential care units in West Sussex. This summary provides an overview of the project with selected results presented."
NA39,Child disability mapping project survey report,24/05/2013,PDF,reports,child_disability_mapping_project.pdf,"Report looking into parents experience and opinion of services for children with a disability.

A questionnaire-based postal survey was sent to 642 families known to have a child with a disability and covers 3 key areas:-
1. Care and support received by families over the last 12 months parental rating of satisfaction of services, extent to which services met their childÕs needs, rating of quality of social services and level of awareness of services available.
2. Information and advice about their child care. Opinion from parents on obtaining information on their social care needs and services provided.
3. Decision made about their childÕs care over the last 12 months. This section covers aspects of decisions made by social care professionals including satisfaction with decision and whether they or their child were consultant."
NA40,Bentswood stakeholder workshop summary: Maintaining health and wellbeing in Bentswood,23/01/2013,PDF,reports,maintaining_h_and_w_bentswood.pdf,"West Sussex Public Health is undertaking an innovative new project to enhance health improvement in Bentswood.

The purpose of the workshop was to introduce the stakeholders who live and work in Bentswood, to innovative ways of working within neighbourhoods and communities.

This report is a summary of the discussion held on the day on how to improve health and wellbeing in the area using resources available in Bentswood."
JSNA1,West Sussex Joint Strategic Needs Assessment 2014 Data Appendix,27/10/2014,Word,reports,west_sussex_joint_strategic_needs_assessment_2014_data_appendix.docx,"This is a data appendix incorporating a range of data used to inform the JSNA summary."
JSNA2,West Sussex Joint Strategic Needs Assessment Summary Version 2014,27/10/2014,Word,reports,west_sussex_joint_strategic_needs_assessment__summary_version_2014.docx,"This is a high level summary of the health and wellbeing needs of the West Sussex population.

This was presented to the West Sussex Health and Wellbeing Board on 8th September 2014."
POP01,Census 2011 headline population statistics,16/07/2012,Word,core,census_2011_headline_population_stats1.doc,"Single page document showing the overall population of West Sussex as of the March 2011 Census. Breaks population down into household residents, residents of communal establishments and short term migrants. Figures are inflated to take into account non-respondent rates."
POP02,Census 2011 population estimates ward level,23/11/2012,Word,core,census_2011_population_estimates_ward_level.doc,"Census 2011 output on population estimates at ward level. Tables are presented for each Local Authority by broad age band."
POP03,Census 2001 – 2011 population West Sussex Local Authorities,05/09/2013,Excel,core,census_2001_2011_population_west_sussex_LAs.xls,"The table and graphs in this document display the population counts (adjusted for non-respondents) from the 2001 and 2011 censuses by age and sex at local authority level and for West Sussex as a whole. Other statistics such as percentage falling into certain categories and dependency ratios are also calculated. The West Sussex population increased by over 53,000 usually resident people between 2001 and 2011."
POP04,2011 Census - Usual resident population at Lower Super Output Area level,05/09/2013,Excel,core,2011_census_usual_resident_population_by_resident_type_sex_and_5_year_age_groups_at_lsoa_level.xls,"These spreadsheets provide population estimates at LSOA level by resident type, sex and 5 year age groups. Estimates are based on usual resident population."
POP05,2011 Census - Ethnic group at local authority and ward level,05/09/2013,Excel,core,2011_census_ethnic_group_LA_ward.xls,"This file provides the ethnic composition of residents at Local Authority and ward level. A new addition to the census is detailed ethnic group, which has been included in this file at local authority level."
POP06,Carers data – Census 2011,16/08/2013,Excel,core,general_health_census_2011.xlsx,"Census data of unpaid carers within West Sussex at district level; categorised by hours work and by self assessed general health."
POP07,General health - Census 2011,16/08/2013,Excel,core,general_health_census_2011.xlsx,"2011 Census data on self assessed quality of health by age and sex."
POP08,Access to cars or vans,12/08/2013,Excel,core,access_vans_cars.xlsx,"Census data from 2001 and 2011 on a households access to a van or a car, alongside dynamic comparison pie charts."
POP09,Central heating,07/08/2012,Excel,core,central_heating.xlsx,"Central heating data from the 2011 census at ward level for West Sussex. Presented with a two drop down boxes linked to pie charts for easy comparison."
POP10,Economic activity,07/08/2013,Excel,core,economic_activity.xlsx,"Economic activity by lower super output area (LSOA) for West Sussex. All data collected from the 2001-2011 census."
POP11,Employment and disability,05/08/2013,Excel,core,employment_disability.xls,"Economic activity by Long term limiting disability or illness. A comparison between 2001-2011 census data."
POP12,Ethnic composition 2001 and 2011: Arun and Chichester,17/12/2012,Word,core,local_authority_ethnic_composition_2001_and_2011_arun_and_chichester.doc,"Document outlining detailed ethnic composition for Adur and Chichester, taken from the 2011 Census. Ethnic composition is also compared with the 2001 census, highlighting the changes over the last 10 years. For both areas, there has been an increase in ethnic minority groups, particular in the other White group."
POP13,Household structure by ward (2001 – 2011),31/01/2011,Excel,core,household_structure_ward_2001_2011.xls,"Numbers and percentages of households by census structure category (e.g. One Person: Pensioner, Married couple households: with dependent children etc.)"
POP14,ONS census output 2012,05/04/2012,Word,core,ons_census_output_2012.doc,"Census 2011 data will be released in 4 stages between July 2012 and October 2013.

Please see the link below for further information on census output release dates.

The prospectus table and schedule on the bottom right hand corner of the link has further details on the data that will be released."
POP15,Population in care homes by local authority census 2011,08/01/2014,Excel,core,population_in_care_homes_by_local_authority_census_2011.xls,"This document shows West Sussex having the 4th highest proportion of population aged 75+ of all counties in England and the 2nd highest proportion of people living in care homes."
POP16,Housing tenure,07/08/2012,Excel,core,housing_tenure.xlsx,"Tenure data for West Sussex at ward level for all households and those over 65.

Presented with visual breakdown of each type of tenure. All data collected from the 2011 Census."
POP17,Industry of occupation by ward and district 2001 – 2011,24/07/2013,Excel,core,industry_occupation_by_ward_district_2001_2011.xlsx,"Self reported industry of occupation, numbers and percentages by ward and district from the 2001 and 2011 census."
POP18,Long term limiting illness and good health by ward,31/01/2011,Excel,core,long_term_limiting_illness_and_good_health_by_ward_2001.xls,"Answers to the health and long term limiting illness questions on the 2001 census by age group by ward, percentages applied to mid year population estimates 2007."
POP19,Method of travel to work (2001 – 2011),13/11/2011,Excel,core,method_travel_work_2001_2011.xlsx,"Comparison of the 2001 and 2011 Census data on method of travel to work at ward and local authority level."
POP20,Method of travel to school 2010,07/02/2011,Excel,core,method_travel_school_2010.xls,"Numbers of students by each method of travel to school from the School Census 2010.

Data is broken down for each statutory nursery, primary and secondary school within the county."
POP21,Overcrowding,14/08/2013,Excel,core,overcrowding.xlsx,"Comparison for 2001-2011 census data on household overcrowding at ward level."
POP22,Registered school pupils by ethnic group 2012,21/06/2012,Excel,core,registered_school_pupils_ethnic_group_2012.xls,"Data collected from the school census on the ethnic group of pupils at different academic stages."
POP23,Religion at ward and local authority level 2001 – 2011,24/07/2013,Excel,core,religion_at_ward_LA_2001_2011.xlsx,"Dataset showing religion status from 2001 and 2011 census. Responses are self reported."
POP24,Unpaid carers (2001 – 2011),10/09/2013,Excel,core,unpaid_carers_2001_2011.xlsx,"Census data regarding unpaid care, this spreadsheet includes ward level counts for unpaid care by hours given, it also includes confidence intervals, to be used to show statistical significance."
PC01,Equality Act update 2013,07/02/2014,Word,core,equality_act_update_2013.docx,"The Equality Act 2010 identified nine protected characteristics; age, sex, disability, race, religion and belief, gender re-assignment, marriage and civil partnership, sexual orientation and pregnancy and maternity.

The attached report is an update on population level data sources relating to these characteristics."
MAP01,Maps of licenced (alcohol/tobacco) premises in West Sussex against school location,26/05/2010,PDF,core,mapping_licensed_premises_and_schools.pdf,"These maps show premises licenced for the sale of tobacco and alcohol in relation to school locations."
MAP02,Map of Worthing Lower Super Output Areas (LSOAs) by index of multiple deprivation (IMD)2010,28/08/2012,PDF,core,worthing_lsoa_imd_2010.pdf,"A high resolution Ordnance Survey map of Worthing Borough with areas of multiple deprivation shown by West Sussex decile."
MAP03,Map of Crawley Lower Super Output Areas (LSOAs) by index of multiple deprivation (IMD) 2010,04/10/2012,PDF,core,crawley_lsoa_imd_2010.pdf,""
MAP04,Map of Adur Lower Super Output Areas (LSOAs) by index of multiple deprivation (IMD) 2010,04/10/2012,PDF,core,adur_lsoa_imd_2010.pdf,""
Map of Burgess Hill and Haywards Heath Lower Super Output Areas (LSOAs) by index of multiple deprivation (IMD) 2010,04/10/2012,PDF,core,high_res_haywards_heath_and_burgess_hill_lsoas_imd_2010_2_.pdf,"High resolution map of Burgess Hill and Haywards Heath Lower Super Output Areas coloured by national deprivation decile (IMD 2010).

The darker areas indicate higher levels of deprivation."
